"","Species","Habitat","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier","overlapsZero"
"1","OVEN","deciduous",-0.839239427392218,0.736098076730149,-0.62015293223333,-1.14714232175292,-0.298250190127288,0.848892131625628,-2.42048051919136,-3.39910400728641,0.975088007311153,-0.0797998361943033,FALSE
"2","RBGR","deciduous",-0.775625103489287,0.669129100419843,-0.583038489322358,-1.04319210574056,-0.295450651819299,0.747741453921265,-2.16480428662246,-3.08924935517764,0.826161529062598,-0.067868732244048,FALSE
"3","BAWW","mixedwood",-0.682296732531569,0.507871692651259,-0.554826538250235,-0.871358309891307,-0.317315271799617,0.55404303809169,-1.70242286702884,-2.40863034825009,0.513749285337918,-0.0982329158203898,FALSE
"4","CAWA","deciduous",-0.675951038378547,0.719357920860624,-0.462929986712554,-0.905465210571686,-0.155054543092637,0.750410667479049,-2.03108121179026,-3.27521487495192,0.970561458125936,0.0705640239089145,TRUE
"5","RUGR","deciduous",-0.65376858503862,0.515376366462631,-0.544637205163499,-0.856577215657009,-0.277226217082047,0.579350998574962,-1.72560371351945,-2.55021141593239,0.591800280780397,-0.0590703487945696,FALSE
"6","REVI","deciduous",-0.644965548285746,0.405650293442069,-0.567894392529663,-0.752665176080519,-0.341079190225769,0.411585985854751,-1.37004415486265,-2.07078152958451,0.276299788556357,-0.126275127703197,FALSE
"7","MAWA","mixedwood",-0.590107610710773,0.391963596374784,-0.520471665601236,-0.810608713004681,-0.297387521586277,0.513221191418405,-1.58044050013229,-2.13155896553547,0.47244426554133,-0.068451741412743,FALSE
"8","COYE","wetland",-0.541128185655199,0.391123007639885,-0.464987704571391,-0.73905279597564,-0.250915246467942,0.488137549507698,-1.47125912023719,-2.10325826525563,0.481291077793605,-0.0234213237253296,FALSE
"9","BCCH","generalist",-0.5382881462354,0.371478023804077,-0.455281242144262,-0.724229223881957,-0.246318066399588,0.477911157482369,-1.44109596010551,-2.17177458854696,0.470548669823965,-0.0718525778839158,FALSE
"10","LEFL","mixedwood",-0.515313989678844,0.382620539485713,-0.460290968123659,-0.721014178332466,-0.20916501089713,0.511849167435336,-1.48878792948547,-1.78435420761626,0.558608740255873,0.00239002265966951,FALSE
"11","BHVI","mixedwood",-0.483227861405207,0.306644272954166,-0.43329944030443,-0.697795193977245,-0.228222215202119,0.469572978775126,-1.40215466213993,-1.35235827425644,0.476137252960569,-0.0656933889357226,FALSE
"12","WAVI","deciduous",-0.475786587909972,0.363835015838427,-0.381143271085902,-0.629430568719486,-0.188059331268712,0.441371237450774,-1.29148742489565,-1.74639921264497,0.473997524907449,-0.0526873684865804,FALSE
"13","HAFL","generalist",-0.467339899779277,0.873987272906876,-0.112949960492487,-0.587996029424165,0.01526710494111,0.603263134365275,-1.49289073097208,-5.05027424694826,0.920161806489023,0.225879584500741,TRUE
"14","AMRE","deciduous",-0.46632442678681,0.375960317617539,-0.377418343365215,-0.62793139139929,-0.180315007763827,0.447616383635462,-1.29935596685248,-1.67837979035961,0.491109567689366,0.0251547630477569,FALSE
"15","YBSA","deciduous",-0.452656069235515,0.404606746306445,-0.376692977279583,-0.653776837745205,-0.108614356255823,0.545162481489382,-1.47152055997928,-1.68434149770724,0.70912936597825,0.0588800219498107,FALSE
"16","BTNW","mixedwood",-0.411051827880564,0.396113887349271,-0.322634309686987,-0.511710467859182,-0.12321284658783,0.388497621271352,-1.09445689976621,-1.90678172679216,0.459533585319198,0.0447722107727319,FALSE
"17","WTSP","generalist",-0.397933080146337,0.233907739699595,-0.404873863012269,-0.568682559542146,-0.204681354036976,0.36400120550517,-1.1146843677999,-0.927839108452084,0.34132045422078,0.00245756410235288,FALSE
"18","PISI","conifer",-0.379610832137912,0.26956774334452,-0.32238220437321,-0.438268618932547,-0.213623841048152,0.224644777884396,-0.775235785759141,-1.88074821047992,0.123343325778441,-0.068950040016295,FALSE
"19","BBWA","mixedwood",-0.367335169989448,0.232521938329926,-0.316123521950466,-0.434810702674512,-0.224997727676437,0.209812974998075,-0.749530165171625,-1.54339888055132,0.0897217348206766,-0.0819941796699878,FALSE
"20","SWSP","wetland",-0.324229653659328,0.287950300980394,-0.268863464068808,-0.440944374765674,-0.105369810348287,0.335574564417388,-0.944306221391756,-1.46726797151549,0.397992036277794,0.0249913468204706,FALSE
"21","HETH","mixedwood",-0.319678601616087,0.109285009557743,-0.327461885016268,-0.39346816593213,-0.239044013471605,0.154424152460525,-0.625104394622917,-0.696756328858225,-0.00740778478081833,-0.0891220139077854,FALSE
"22","WETA","mixedwood",-0.314612834917798,0.225730726391865,-0.248545595546819,-0.389565298900769,-0.165583303334798,0.223981995565971,-0.725538292249726,-1.29800432103981,0.170389690014159,0.0757114447637518,FALSE
"23","CONW","mixedwood",-0.313240055429994,0.304702793663144,-0.272031295695282,-0.460877603571681,-0.0568885699852394,0.403989033586442,-1.06686115395134,-1.31141656550536,0.549094980394424,0.167636437937795,FALSE
"24","TEWA","mixedwood",-0.303057428174566,0.157413083342723,-0.256485932037806,-0.372816641223124,-0.194018569928515,0.178798071294609,-0.641013748165038,-0.968756981299599,0.0741785370133985,0.0110622753745256,FALSE
"25","CHSP","generalist",-0.269996364801164,0.0610653608809934,-0.27185124049293,-0.310522937882026,-0.230780551146326,0.0797423867356998,-0.430136517985575,-0.422237121298727,-0.111166971042776,-0.0764147225733816,FALSE
"26","SWTH","mixedwood",-0.251619507435773,0.126743052089897,-0.225339879201975,-0.319291074458215,-0.181841993843221,0.137449080614994,-0.525464695380705,-0.759508847928949,0.0243316270792688,0.0827585810211406,FALSE
"27","PAWA","conifer",-0.234954039970941,0.175018094911704,-0.203959930234525,-0.367359526920767,-0.089302976886248,0.278056550034518,-0.784444351972544,-0.776738449277209,0.32778184816553,0.16690875019984,FALSE
"28","CORA","generalist",-0.229268025136475,0.146096705412123,-0.232606062198217,-0.333867074143812,-0.098795988505611,0.235071085638201,-0.686473702601114,-0.701667168940696,0.253810639951691,0.105495167608405,FALSE
"29","ALFL","shrub",-0.226634619627807,0.206414984891087,-0.184876753892827,-0.346651128105853,-0.0549157505707384,0.291735377535115,-0.784254194408525,-1.40010566631832,0.382687315731934,0.0554624926313235,FALSE
"30","LCSP","wetland",-0.219568815798959,0.228778741381704,-0.174441810008448,-0.310014226298556,-0.0597983673825131,0.250215858916043,-0.68533801467262,-1.60444604409218,0.315525420991551,0.0832250197446249,TRUE
"31","RBNU","mixedwood",-0.217354856068984,0.164051223870438,-0.182467851327664,-0.281551277623295,-0.0941698313382408,0.187381446285054,-0.562623447050877,-0.786734358478446,0.186902338089341,0.143723746893832,FALSE
"32","EAKI","deciduous",-0.214302450405686,0.406522375552792,-0.167987364761017,-0.453397761072412,0.122620510480986,0.576018271553397,-1.31742516840251,-1.82634992915788,0.986647917811082,0.481712607031935,TRUE
"33","RWBL","wetland",-0.195394236016542,0.315240425292078,-0.115550744203369,-0.300611835788435,-0.00186736972923615,0.298744466059199,-0.748728534877233,-1.79913664653917,0.446249329359562,0.238370052190931,TRUE
"34","PHVI","deciduous",-0.187448775265921,0.180147140974665,-0.147231861664474,-0.32241124621924,-0.0371706605506108,0.28524058566863,-0.750272124722185,-0.63671860024157,0.390690217952333,0.121230581836411,FALSE
"35","YBFL","conifer",-0.149350294417836,0.112338036556056,-0.129666728605878,-0.240151830884072,-0.0621621589889497,0.177989671895122,-0.507136338726755,-0.451859087070096,0.204822348853733,0.138713983747085,FALSE
"36","BHCO","grassland",-0.134755380756666,0.378206701485813,-0.0136850803355715,-0.251710461572235,0.0875892704016785,0.339299731973913,-0.760660059533105,-2.31259674168393,0.596538868362549,0.370586874024175,TRUE
"37","OCWA","shrub",-0.13427635704992,0.168054105014425,-0.0998899519536771,-0.223491306922873,0.000719214901432741,0.224210521824306,-0.559807089659332,-0.685852508093957,0.337034997637892,0.0941840031208738,TRUE
"38","NOWA","wetland",-0.112277115204403,0.13392924102244,-0.0756211829037868,-0.18875475909196,-0.0190766460560413,0.169678113035919,-0.443271928645838,-0.679595554443249,0.235440523497837,0.245912621628147,TRUE
"39","SOSP","shrub",-0.100207197810162,0.191935537603637,-0.0735485550781876,-0.191603885144169,0.0261650686015555,0.217768953745724,-0.518257315762755,-0.907930556779488,0.352818499220142,0.306538756044905,TRUE
"40","PUFI","mixedwood",-0.100195047397602,0.157770309115567,-0.0696206928068795,-0.178640011384325,0.0107445912407329,0.189384602625058,-0.462716915321912,-0.714978376387786,0.29482149517832,0.185564452030369,TRUE
"41","GCKI","conifer",-0.0993244350664108,0.128624384488583,-0.0986922365367477,-0.15823111513754,-0.0493941093103664,0.108837005827173,-0.321486623878299,-0.549693820608286,0.113861399430393,0.455145105619157,TRUE
"42","WIWR","mixedwood",-0.0960644978268023,0.0927407656133707,-0.101136425518251,-0.151118691344982,-0.0623339411202674,0.088784750224715,-0.284295816682055,-0.277175922888105,0.0708431842168051,0.249897342789093,FALSE
"43","HOLA","grassland",-0.0951218798627685,0.172875071994692,-0.107872743780052,-0.225849597436918,0.0255842997015829,0.251433897138501,-0.60300044314467,-0.455276610843488,0.402735145409335,0.515566022113241,TRUE
"44","BBWO","conifer",-0.0872007871106654,0.122836212527255,-0.10709908544694,-0.166019801772676,-0.0166216220158648,0.149398179756811,-0.390117071407892,-0.319674503075531,0.207475647619352,0.24414672576695,TRUE
"45","VATH","conifer",-0.0695889315575855,0.240913449608005,-0.0502378365327696,-0.212158310076394,0.0493282159621238,0.261486526038517,-0.60438809913417,-0.878065986191501,0.4415580050199,0.644237052968556,TRUE
"46","YRWA","conifer",-0.0685819160264868,0.10495530989197,-0.0834914223292069,-0.146714518212731,-0.00323147261045206,0.143483045602279,-0.36193908661615,-0.272974428539804,0.211993095792967,0.176664980527362,TRUE
"47","YEWA","shrub",-0.0678314146775696,0.324562645439589,-0.000395741719164424,-0.263866253597941,0.204576550972247,0.468442804570188,-0.966530460453224,-1.59706622745204,0.90724075782753,0.332087120301317,TRUE
"48","AMRO","generalist",-0.0195080245859275,0.179359913453292,-0.00594413693425349,-0.147429152274444,0.11445636428772,0.261885516562164,-0.54025742711769,-0.4819074065697,0.507284639130966,0.292495091070199,TRUE
"49","GRAJ","conifer",-0.0155624251051733,0.138819069461657,-0.0346717491169053,-0.133118360037809,0.0906461041846646,0.223764464222474,-0.468765056371519,-0.243569967594918,0.426292800518375,0.469307541703086,TRUE
"50","WEWP","conifer",-0.00250413002161223,0.134456315435457,0.0179378596811619,-0.093803182570015,0.0962274393420038,0.190030621912019,-0.378849115438043,-0.296766644842496,0.381273372210032,0.270232201727597,TRUE
"51","DEJU","conifer",0.000668576020365151,0.153210732351007,-0.0201050180607269,-0.117850405187035,0.0949218336377623,0.212772238824797,-0.437008763424231,-0.276887209876982,0.414080191874958,0.444375049166943,TRUE
"52","WWCR","conifer",0.0143452620022579,0.115959481129604,-0.00647451220384814,-0.075317325337892,0.0724900255231625,0.147807350861054,-0.297028351629474,-0.150851686876057,0.294201051814744,0.599914266959368,TRUE
"53","OSFL","conifer",0.0435984462567992,0.134177545733645,0.0246059688168695,-0.0280363417805603,0.113141502979562,0.141177844760122,-0.239803108920743,-0.267463273362627,0.324908270119744,0.533962596970117,TRUE
"54","ATTW","conifer",0.0492715337401144,0.125076326308455,0.0101725208213999,-0.0617237081720992,0.159958663861455,0.221682372033555,-0.394247266222431,-0.133684552704643,0.492482221911787,0.39837643136147,TRUE
"55","LISP","shrub",0.0560521672901116,0.163060718031853,0.084471903390119,-0.0439731857555174,0.175806662082693,0.21977984783821,-0.373642957512833,-0.488908558856384,0.505476433840008,0.32738253681825,TRUE
"56","RCKI","conifer",0.0627218540613626,0.152939043989427,0.0467295143111356,-0.076457372981381,0.186937126671349,0.263394499652729,-0.471549122460475,-0.169609201135347,0.582028876150443,0.435532189485232,TRUE
"57","BOCH","conifer",0.0627371556416502,0.195020207750852,0.0645742809815725,-0.0763115861424321,0.170695875592698,0.24700746173513,-0.446822778745127,-0.261126458149842,0.541207068195393,0.811528477589725,TRUE
"58","BRCR","conifer",0.0913975104243601,0.115068873131804,0.0356315287366458,0.00680189744650139,0.1521700156343,0.145368118187799,-0.211250279835196,-0.0455468606182005,0.370222192915998,0.493429677224169,TRUE
"59","AMCR","generalist",0.106787611219862,0.133684672895713,0.116832421376463,0.0573723197126249,0.170794257525229,0.113421937812604,-0.112760587006282,-0.653880298999505,0.340927164244136,0.399105021013935,TRUE
"60","CCSP","shrub",0.147252585285802,0.0828584584825974,0.158898675309232,0.111938004609529,0.211386904717739,0.0994489001082092,-0.0372353455527844,-0.274623783150091,0.360560254880052,0.275292585579174,FALSE
"61","TRES","wetland",0.155098405583578,0.168704129380815,0.209456145051508,0.116605299206549,0.257069463462388,0.140464164255839,-0.0940909471772104,-0.528176257479772,0.467765709846148,0.448437583762091,TRUE
"62","WIWA","shrub",0.196013969823907,0.279569250692853,0.233033710701013,0.0618192269850395,0.383685030509261,0.321865803524222,-0.420979478301293,-1.55521313397192,0.866483735795594,0.727889495071933,TRUE
"63","LEYE","wetland",0.1984402605655,0.11678409684338,0.188950616487874,0.101774932795603,0.267368647850362,0.165593715054759,-0.146615639786535,-0.00538364244288101,0.5157592204325,0.576494338459081,FALSE
"64","EVGR","conifer",0.224984754077304,0.128292559274879,0.207484714662774,0.141324626882415,0.30008027221828,0.158755645335865,-0.0968088411213827,-0.0241912810056344,0.538213740222077,0.706838971965662,FALSE
"65","BLPW","conifer",0.239205793072417,0.48294142173687,0.225019505690701,0.0129941188047768,0.597371228644908,0.584377109840132,-0.863571545955421,-2.80605002525882,1.47393689340511,0.975525110156546,TRUE
"66","SAVS","shrub",0.278215214211112,0.124664245666689,0.25446401802438,0.191313055464286,0.356794875254452,0.165481819790166,-0.056909674220963,-0.0146342920692463,0.6050176049397,0.612136423010824,FALSE
"67","FOSP","conifer",0.338887806493732,0.212623482176875,0.318908747666424,0.145050453761031,0.513576926752228,0.368526472991197,-0.407739255725764,0.0122612568559009,1.06636663623902,0.818607212488832,FALSE
"68","RUBL","conifer",0.413935310162778,0.187111217344428,0.421887694135415,0.2829022950903,0.54449113100603,0.26158883591573,-0.109480958783296,0.0484856563174594,0.936874384879626,0.822764840839662,FALSE
"69","GCTH","conifer",0.527038346510782,0.292593343863846,0.509776545766792,0.254842168797175,0.814543164038886,0.559700995241711,-0.584709324065391,0.0368359408355508,1.65409465690145,0.983245708450236,FALSE
"70","WCSP","shrub",0.572990158182536,0.258796965464855,0.576998917209143,0.348386949637293,0.792222384087892,0.4438354344506,-0.317366202038606,0.057109268648212,1.45797553576379,0.997571275406655,FALSE
"71","ATSP","shrub",0.603368986512307,0.310325955008437,0.68900268528895,0.313056038924153,0.904085031994492,0.591028993070339,-0.573487450681356,0.0459295590336116,1.7906285216,0.993546658545039,FALSE
