"","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"1",0.05,-0.0248922730653965,0.0990886678683116,-0.0387617758532793,-0.0957035504874619,0.0367129436172454,0.132416494104707,-0.294328291644523,-0.257343175068133,0.235337684774306,0.280636303167065
"2",0.15,-0.0342174711876576,0.143392680873044,-0.0606201744139539,-0.145934301115893,0.0556498470815152,0.201584148197408,-0.448310523412005,-0.325260427835116,0.358026069377627,0.347922091649491
"3",0.25,-0.0621651762442301,0.177981663550451,-0.094770011301646,-0.19664835672894,0.0409505689160959,0.237598925645036,-0.553046745196493,-0.409983422608992,0.397348957383649,0.432733764390444
"4",0.35,-0.093727244857731,0.240730666993542,-0.14395618850137,-0.273452822790504,0.0382742921962529,0.311727114986757,-0.741043495270638,-0.521450721703118,0.505864964676388,0.632182329433157
"5",0.45,-0.127047578183852,0.303154829343333,-0.190536552174975,-0.352554358080745,0.0352769154963642,0.38783127357711,-0.93430126844641,-0.621147697349666,0.617023825862029,0.84237015670958
"6",0.55,-0.147969275502337,0.331050400711027,-0.190889492261534,-0.385746048820227,0.0623748676903821,0.44812091651061,-1.05792742358614,-0.742035717117135,0.734556242456296,0.881508854166414
"7",0.65,-0.174522835184305,0.373896717579489,-0.190756088970465,-0.45121344149214,0.0794262820390678,0.530639723531208,-1.24717302678895,-0.970826752590503,0.87538586733588,0.906873574201626
"8",0.75,-0.205699982054336,0.474171078912627,-0.221360668771654,-0.545976169269911,0.127037907395245,0.673014076665156,-1.55549728426764,-1.3701465432094,1.13655902239298,0.944578105295407
"9",0.85,-0.276673255264431,0.603745905519773,-0.227353703569616,-0.687295784853976,0.14715606032776,0.834451845181736,-1.93897355262658,-2.27738186773342,1.39883382810036,0.991997384746619
"10",0.95,-0.423317093572938,0.85703994611327,-0.219073389894925,-0.913950451837192,0.154569613426551,1.06852006526374,-2.51673054973281,-5.05027424694826,1.75734971132216,0.997571275406655
